Training_Region_Cell_ID,D_model1,D_model2,D_dataCat,D_dataFeat,D_kgS0,D_kgS1,D_kgS2,D_kgS3,D_nopredTarget,D_onto,invalid_cell,type,cell-pair(s),family,setID,trial_ID,status,comments
88,1,1,1,4,1,1,1,1,3,1,,,,,,,,
89,1,1,1,4,1,1,1,1,3,2,A,,,,,,,
90,1,1,1,4,1,1,1,1,3,3,A,,,,,,,
91,1,1,1,4,2,1,1,1,1,1,B,,,,,,,
92,1,1,1,4,2,1,1,1,1,2,,,,,,,,
93,1,1,1,4,2,1,1,1,1,3,,,,,,,,
94,1,1,1,4,2,1,1,1,2,1,B,,,,,,,
95,1,1,1,4,2,1,1,1,2,2,,,,,,,,
96,1,1,1,4,2,1,1,1,2,3,,,,,,,,
97,1,1,1,4,2,1,1,1,3,1,B,,,,,,,
98,1,1,1,4,2,1,1,1,3,2,,,,,,,,
99,1,1,1,4,2,1,1,1,3,3,,,,,,,,
100,1,1,1,4,3,1,1,1,1,1,B,,,,,,,
101,1,1,1,4,3,1,1,1,1,2,,,,,,,,
102,1,1,1,4,3,1,1,1,1,3,,,,,,,,
103,1,1,1,4,3,1,1,1,2,1,B,,,,,,,
104,1,1,1,4,3,1,1,1,2,2,,,,,,,,
105,1,1,1,4,3,1,1,1,2,3,,,,,,,,
106,1,1,1,4,3,1,1,1,3,1,B,,,,,,,
107,1,1,1,4,3,1,1,1,3,2,,,,,,,,
108,1,1,1,4,3,1,1,1,3,3,,,,,,,,
109,1,1,2,1,1,1,1,1,1,1,,,,,,,,
110,1,1,2,1,1,1,1,1,1,2,A,,,,,,,
111,1,1,2,1,1,1,1,1,1,3,A,,,,,,,
112,1,1,2,1,1,1,1,1,2,1,,,,,,,,
113,1,1,2,1,1,1,1,1,2,2,A,,,,,,,
114,1,1,2,1,1,1,1,1,2,3,A,,,,,,,
115,1,1,2,1,1,1,1,1,3,1,,,,,,,,
116,1,1,2,1,1,1,1,1,3,2,A,,,,,,,
117,1,1,2,1,1,1,1,1,3,3,A,,,,,,,
118,1,1,2,1,2,1,1,1,1,1,B,,,,,,,
119,1,1,2,1,2,1,1,1,1,2,,,,,,,,
120,1,1,2,1,2,1,1,1,1,3,,,,,,,,
121,1,1,2,1,2,1,1,1,2,1,B,,,,,,,
122,1,1,2,1,2,1,1,1,2,2,,,,,,,,
123,1,1,2,1,2,1,1,1,2,3,,,,,,,,
124,1,1,2,1,2,1,1,1,3,1,B,,,,,,,
125,1,1,2,1,2,1,1,1,3,2,,,,,,,,
126,1,1,2,1,2,1,1,1,3,3,,,,,,,,
127,1,1,2,1,3,1,1,1,1,1,B,,,,,,,
128,1,1,2,1,3,1,1,1,1,2,,,,,,,,
129,1,1,2,1,3,1,1,1,1,3,,,,,,,,
130,1,1,2,1,3,1,1,1,2,1,B,,,,,,,
131,1,1,2,1,3,1,1,1,2,2,,,,,,,,
132,1,1,2,1,3,1,1,1,2,3,,,,,,,,
133,1,1,2,1,3,1,1,1,3,1,B,,,,,,,
134,1,1,2,1,3,1,1,1,3,2,,,,,,,,
135,1,1,2,1,3,1,1,1,3,3,,,,,,,,
136,1,1,2,2,1,1,1,1,1,1,,T,460,nnkgs0,1,3,A,
137,1,1,2,2,1,1,1,1,1,2,A,,,,,,,
138,1,1,2,2,1,1,1,1,1,3,A,,,,,,,
139,1,1,2,2,1,1,1,1,2,1,,,,,,,,
140,1,1,2,2,1,1,1,1,2,2,A,,,,,,,
